Coste: 8988 Profundidad de Solucion:335 Profundidad Total: 335Segundos: 0
UMT_X[399675] UMT_Y[4360175] HEIGHT[824.63]
UMT_X[399675] UMT_Y[4360200] HEIGHT[816.67]
UMT_X[399675] UMT_Y[4360225] HEIGHT[808.07]
UMT_X[399675] UMT_Y[4360250] HEIGHT[800.48]
UMT_X[399675] UMT_Y[4360275] HEIGHT[792.14]
UMT_X[399675] UMT_Y[4360300] HEIGHT[784.89]
UMT_X[399675] UMT_Y[4360325] HEIGHT[779.27]
UMT_X[399675] UMT_Y[4360350] HEIGHT[774.64]
UMT_X[399675] UMT_Y[4360375] HEIGHT[771.1]
UMT_X[399675] UMT_Y[4360400] HEIGHT[768.34]
UMT_X[399675] UMT_Y[4360425] HEIGHT[766.02]
UMT_X[399675] UMT_Y[4360450] HEIGHT[764.79]
UMT_X[399675] UMT_Y[4360475] HEIGHT[763.98]
UMT_X[399675] UMT_Y[4360500] HEIGHT[763.33]
UMT_X[399675] UMT_Y[4360525] HEIGHT[762.77]
UMT_X[399675] UMT_Y[4360550] HEIGHT[762.02]
UMT_X[399675] UMT_Y[4360575] HEIGHT[761.29]
UMT_X[399675] UMT_Y[4360600] HEIGHT[760.11]
UMT_X[399675] UMT_Y[4360625] HEIGHT[759.1]
UMT_X[399675] UMT_Y[4360650] HEIGHT[758.63]
UMT_X[399675] UMT_Y[4360675] HEIGHT[757.85]
UMT_X[399675] UMT_Y[4360700] HEIGHT[757.08]
UMT_X[399675] UMT_Y[4360725] HEIGHT[756.34]
UMT_X[399675] UMT_Y[4360750] HEIGHT[755.6]
UMT_X[399675] UMT_Y[4360775] HEIGHT[755.14]
UMT_X[399675] UMT_Y[4360800] HEIGHT[754.45]
UMT_X[399675] UMT_Y[4360825] HEIGHT[753.81]
UMT_X[399675] UMT_Y[4360850] HEIGHT[752.95]
